"","Sample_name","Sample_type","Host","Wet_weight","Dry_weight","Percent_dry","EPG_McM_wet","EPG_McM_dry","Weight_dc_count","Egg_count_DC","EPG_DC_wet","EPG_DC_dry","L3_count_sum","Number_of_L3_counts","Avg_L3_count","Qubit","Sub_conc","Reads","Richness_asv","Richness_sp","Richness_g","Shannon_asv","Shannon_sp","Shannon_g","Evenness_asv","Evenness_sp","Evenness_g"
"25","BZ10F","Fecal","BZ10",6.91,1.39,0.2012,32,6.4384,3.09,61,19.7411003236246,3.97190938511327,6,4,1.5,44.5,5,15970,14,4,4,1.93111428349976,1.11022373576292,1.11022373576292,0.73174396851064,0.800857138931194,0.800857138931194
"26","BZ10L","Larva","BZ10",6.91,1.39,0.2012,32,6.4384,3.09,61,19.7411003236246,3.97190938511327,6,4,1.5,0.077,0.077,22929,48,14,7,2.75762129286962,1.72435049827741,1.54060471283318,0.712342574074419,0.65339637715593,0.791714208171995
"27","BZ10S","Swab","BZ10",6.91,1.39,0.2012,32,6.4384,3.09,61,19.7411003236246,3.97190938511327,6,4,1.5,0.547,0.547,21964,33,9,7,2.38508323483,1.71236879056973,1.56905897853431,0.682133012127584,0.779332621814061,0.806336808149156
"28","BZ11F","Fecal","BZ11",6.94,1.5,0.2161,16,3.4576,3,60,20,4.322,8,4,2,46,5,7137,4,1,1,0.92104053739388,0,0,0.664390307877928,NA,NA
"29","BZ11L","Larva","BZ11",6.94,1.5,0.2161,16,3.4576,3,60,20,4.322,8,4,2,0.588,0.588,16204,20,9,5,1.71327142855908,0.968375749809661,0.639214468736442,0.571904052870032,0.440726796795465,0.397166280101914
"30","BZ11S","Swab","BZ11",6.94,1.5,0.2161,16,3.4576,3,60,20,4.322,8,4,2,1.47,1.47,16696,16,7,5,1.50858510813634,0.671096864624154,0.593718037543814,0.54410706356681,0.34487556629989,0.368897758004147
"31","BZ12F","Fecal","BZ12",7.07,1.94,0.2744,32,8.7808,3.1,29,9.35483870967742,2.56696774193548,2,4,0.5,64.7,5,3413,3,1,1,0.800371198689842,0,0,0.728529260909836,NA,NA
"32","BZ12L","Larva","BZ12",7.07,1.94,0.2744,32,8.7808,3.1,29,9.35483870967742,2.56696774193548,2,4,0.5,1.03,1.03,23419,12,6,5,1.28533902791831,0.622207195318073,0.547971864632342,0.517258476501709,0.347260447623664,0.340474062651845
"33","BZ12S","Swab","BZ12",7.07,1.94,0.2744,32,8.7808,3.1,29,9.35483870967742,2.56696774193548,2,4,0.5,1.94,1.94,21081,9,6,4,1.13394437055472,0.386960015510513,0.33618599356178,0.51608032344579,0.215966496706853,0.242506932863955
"34","BZ13F","Fecal","BZ13",6.84,2.09,0.3056,32,9.7792,3.11,32,10.2893890675241,3.14443729903537,13,4,3.25,25,5,17639,14,4,3,2.13804904379178,1.30181228007463,1.07317433896945,0.810156346282739,0.939059060316011,0.976845380339323
"35","BZ13L","Larva","BZ13",6.84,2.09,0.3056,32,9.7792,3.11,32,10.2893890675241,3.14443729903537,13,4,3.25,1.65,1.65,21109,53,12,6,2.97568433326465,1.88851795315441,1.56493096295626,0.749487543499635,0.75999553275594,0.873404600244966
"38","BZ14L","Larva","BZ14",7.12,2.25,0.316,0,0,3.09,2,0.647249190938511,0.20453074433657,1,4,0.25,7.82,5,12168,29,8,5,2.51104738258327,1.30280556363632,1.04563080489918,0.7457162985865,0.626517041966891,0.649686947735547
"39","BZ14S","Swab","BZ14",7.12,2.25,0.316,0,0,3.09,2,0.647249190938511,0.20453074433657,1,4,0.25,2.61,2.61,17434,37,8,6,2.99723557334275,1.73286547212518,1.51451590004352,0.830048105731629,0.833332141054237,0.845267417895115
