"","Sample_name","Sample_type","Host","Wet_weight","Dry_weight","Percent_dry","EPG_McM_wet","EPG_McM_dry","Weight_dc_count","Egg_count_DC","EPG_DC_wet","EPG_DC_dry","L3_count_sum","Number_of_L3_counts","Avg_L3_count","Qubit","Sub_conc","Reads","Richness_asv","Richness_sp","Richness_g","Shannon_asv","Shannon_sp","Shannon_g","Evenness_asv","Evenness_sp","Evenness_g"
"1","BZ01F","Fecal","BZ01",7.5,2.2,0.2933,176,51.6208,3.1,251,80.9677419354839,23.7478387096774,23,3,7.66666666666667,45.4,5,20914,34,7,4,2.67425017536823,1.06924535973861,0.750311613020278,0.758359832098938,0.549483417956221,0.541235421612877
"2","BZ01L","Larva","BZ01",7.5,2.2,0.2933,176,51.6208,3.1,251,80.9677419354839,23.7478387096774,23,3,7.66666666666667,5.2,5,16956,48,14,9,2.94926719675482,1.60244146461508,1.31501832862495,0.761848115983816,0.607202218243852,0.598490633223845
"4","BZ02F","Fecal","BZ02",7.52,2.47,0.3285,40,13.14,3.01,40,13.2890365448505,4.36544850498339,0,4,0,49.5,5,9404,13,4,4,2.13189151939791,1.23678513244413,1.23678513244413,0.831163201408306,0.892151888611174,0.892151888611174
"5","BZ02L","Larva","BZ02",7.52,2.47,0.3285,40,13.14,3.01,40,13.2890365448505,4.36544850498339,0,4,0,NA,0,12458,23,7,5,2.51397352637588,1.65303059475608,1.31149890554269,0.801779034897984,0.849489682531634,0.814880086650372
"6","BZ02S","Swab","BZ02",7.52,2.47,0.3285,40,13.14,3.01,40,13.2890365448505,4.36544850498339,0,4,0,3.91,3.91,19460,42,8,5,3.06927424555778,1.81456880624641,1.53841486625525,0.821173233328052,0.8726231393745,0.955870900250241
"7","BZ03F","Fecal","BZ03",7.75,2.49,0.3213,16,5.1408,3.08,56,18.1818181818182,5.84181818181818,12,4,3,56.4,5,5288,14,4,4,2.40550182794075,1.33482478844015,1.33482478844015,0.911500406204301,0.962872551369131,0.962872551369131
"8","BZ03L","Larva","BZ03",7.75,2.49,0.3213,16,5.1408,3.08,56,18.1818181818182,5.84181818181818,12,4,3,6.69,5,21959,53,11,6,3.06653824871434,1.8821780388212,1.5486061919913,0.772370978125583,0.784929208615802,0.864293572093407
"9","BZ03S","Swab","BZ03",7.75,2.49,0.3213,16,5.1408,3.08,56,18.1818181818182,5.84181818181818,12,4,3,1.37,1.37,26354,39,8,6,3.05380370906915,1.64358638008721,1.36105711088102,0.833561436667876,0.790397973274823,0.759620436925836
"10","BZ04F","Fecal","BZ04",11.37,2.94,0.259,200,51.8,3,323,107.666666666667,27.8856666666667,17,4,4.25,47.2,5,15820,26,4,4,2.52449972184638,0.978018970097076,0.978018970097076,0.774838833774831,0.705491559027192,0.705491559027192
"11","BZ04L","Larva","BZ04",11.37,2.94,0.259,200,51.8,3,323,107.666666666667,27.8856666666667,17,4,4.25,0.182,0.182,20229,65,11,6,3.37592928170791,1.9316760868252,1.4371988923873,0.808724505762569,0.805571497945742,0.802115974309034
"12","BZ04S","Swab","BZ04",11.37,2.94,0.259,200,51.8,3,323,107.666666666667,27.8856666666667,17,4,4.25,4.47,4.47,14378,51,10,6,2.78739722336886,1.30569067554646,1.09621928933323,0.708932054404838,0.567054255462356,0.611811634407333
"13","BZ05F","Fecal","BZ05",7.83,3.19,0.4074,32,13.0368,3.06,16,5.22875816993464,2.13019607843137,4,2,2,23.2,5,16528,33,3,3,2.65000484543888,0.643639538408769,0.63941148404327,0.757900504675997,0.585865955667652,0.582017414731864
"14","BZ05L","Larva","BZ05",7.83,3.19,0.4074,32,13.0368,3.06,16,5.22875816993464,2.13019607843137,4,2,2,1.84,1.84,18105,44,8,5,2.81757226976559,1.20048700286991,1.06407219944609,0.744564237614116,0.577312215230692,0.661145230409541
"15","BZ05S","Swab","BZ05",7.83,3.19,0.4074,32,13.0368,3.06,16,5.22875816993464,2.13019607843137,4,2,2,3.43,3.43,16268,26,8,6,2.63720632640341,1.26566142902212,1.25426671051856,0.809431610029849,0.608654489031551,0.700019579669887
